Group.pvalue	interaction.pvalue	Group.padj	interaction.padj
s__Coprobacter_secundus	0.929404252443873	0.138339500296718	0.954887289646491	0.2404472267062
s__Dorea_longicatena	0.800363730412137	0.0249663817601472	0.954887289646491	0.0810020385995886
s__Bacteroides_massiliensis	0.611580237897278	0.261463983773062	0.954887289646491	0.396190743319406
s__Enterococcus_gallinarum	0.823826956453792	0.741245717021551	0.954887289646491	0.80164351618627
s__Eubacterium_eligens	0.817585743705379	0.013206495531031	0.954887289646491	0.0573046431355891
s__Bacteroides_xylanisolvens	0.790416861622777	0.705751364406382	0.954887289646491	0.793962924966897
s__Clostridioides_difficile	0.76411267915418	0.0183008398534779	0.954887289646491	0.0686650206029859
s__Parabacteroides_johnsonii	0.136494644044192	0.0583515276145474	0.813956878356207	0.133114422370686
s__Faecalibacterium_prausnitzii	0.458308269754198	0.737301359863062	0.954887289646491	0.80164351618627
s__Prevotella_disiens	0.0221095831122413	0.0218817491421822	0.256423434085805	0.0745524549197341
s__Coprobacter_fastidiosus	0.69854770334792	0.283806734842	0.954887289646491	0.418543265524566
s__Parvimonas_sp_KA00067	0.0107070483392553	0.00800409952365574	0.156322905753127	0.0408963232404393
s__Enterococcus_casseliflavus	0.205546917843309	0.980720365513946	0.901100557638633	0.980720365513946
s__Fusobacterium_equinum	0.0802410619343666	0.193826585646596	0.585759752120876	0.314429794493366
s__Lactobacillus_acidophilus	0.240900174587958	0.110525370078495	0.901100557638633	0.204262076347598
s__Parasutterella_excrementihominis	0.738809133730098	0.534189459667913	0.954887289646491	0.628965008963833
s__Lactobacillus_apis	0.664557544251746	0.784921138465172	0.954887289646491	0.836485300846095
s__Finegoldia_magna	0.21822702154462	0.0145429746204585	0.901100557638633	0.0606649798453413
s__Oscillibacter_sp_CAG_241	0.669348317197368	0.00517286382120131	0.954887289646491	0.0397493746260732
s__Mitsuokella_jalaludinii	0.871962055026533	0.357204523171029	0.954887289646491	0.487400564326825
s__Roseburia_inulinivorans	0.825258407416036	4.26271192149229e-05	0.954887289646491	0.00155588985134469
s__Bacteroides_clarus	0.935266317941426	0.0599953830562456	0.954887289646491	0.133302966706014
s__Bacteroides_faecis	0.627631762419052	0.712391391579887	0.954887289646491	0.793962924966897
s__Bifidobacterium_breve	0.769304940529669	0.0104077126567201	0.954887289646491	0.0490169692864883
s__Blautia_coccoides	0.919425518788025	0.0133449168945892	0.954887289646491	0.0573046431355891
s__Megasphaera_micronuciformis	0.547340576134349	0.733384224607948	0.954887289646491	0.80164351618627
s__Erysipelatoclostridium_ramosum	0.696414169748774	0.00778180786745874	0.954887289646491	0.0408963232404393
s__Klebsiella_pneumoniae	0.661721024668225	0.114100236968252	0.954887289646491	0.20823293246706
s__Eubacterium_hallii	0.442072799104307	0.426983886905386	0.954887289646491	0.546839013054267
s__Dielma_fastidiosa	0.211485904807869	0.166329844464795	0.901100557638633	0.275956332862047
s__Flavonifractor_plautii	0.0622180057034434	0.00687188272520545	0.504657157372374	0.0408963232404393
s__Veillonella_atypica	0.195358916666763	0.721702760763386	0.901100557638633	0.798246992965563
s__Roseburia_faecis	0.693741755638772	0.00480463908980503	0.954887289646491	0.0394180225245881
s__Dorea_formicigenerans	0.882590687776894	0.0790762994675749	0.954887289646491	0.15815259893515
s__Clostridium_symbiosum	0.985270789591624	1.8983973323797e-05	0.985433683065653	0.0012196596180248
s__Dialister_invisus	0.450646216661506	0.433758206332882	0.954887289646491	0.550684331518268
s__Odoribacter_splanchnicus	0.770769723391492	0.198303264738821	0.954887289646491	0.318156886284262
s__Fusobacterium_gonidiaformans	0.00715122219054923	0.0401476378680279	0.13712569295005	0.10657372961331
s__Gemmiger_formicilis	0.760232798485425	0.00229946013065427	0.954887289646491	0.0286114685673273
s__Bacteroides_intestinalis	0.516838554853245	0.0377259871550408	0.954887289646491	0.105922963935307
s__Eggerthella_lenta	0.482875174844318	0.0122471208821264	0.954887289646491	0.0558774890247018
s__Prevotella_sp_CAG_5226	0.502939877156032	0.00812324228748452	0.954887289646491	0.0408963232404393
s__Megamonas_funiformis	0.477518857927573	0.0360445421842293	0.954887289646491	0.10318633644897
s__Dialister_sp_CAG_357	0.658319259197975	0.0348894391329148	0.954887289646491	0.101877162268111
s__Eubacterium_ramulus	0.7550285652845	0.01851011469518	0.954887289646491	0.0686650206029859
s__Coprococcus_comes	0.922935926669997	0.0626723526634317	0.954887289646491	0.133302966706014
s__Turicibacter_sanguinis	0.41135866406689	0.804371251190939	0.954887289646491	0.844879155927173
s__Ruminococcus_bicirculans	0.930119694880445	0.933504053461993	0.954887289646491	0.939942012451386
s__Collinsella_aerofaciens	0.334558384390073	1.53752029086796e-05	0.954887289646491	0.0012196596180248
s__Clostridium_aldenense	0.870439211541863	0.0074625875202043	0.954887289646491	0.0408963232404393
s__Bilophila_wadsworthia	0.414200385083089	0.315478708172728	0.954887289646491	0.438665632316364
s__Prevotella_buccae	0.66516866448233	0.30883220455627	0.954887289646491	0.437616803589905
s__Bacteroides_stercoris	0.529823954329437	0.296507173896901	0.954887289646491	0.42861433058364
s__Clostridium_innocuum	0.592229949933355	2.50614990005097e-05	0.954887289646491	0.0012196596180248
s__Gordonibacter_pamelaeae	0.873886168079647	0.508160651984788	0.954887289646491	0.608126681883435
s__Ruminococcus_gnavus	0.302094065928399	0.00161391812943207	0.954887289646491	0.0261813385441203
s__Fusicatenibacter_saccharivorans	0.886246806732423	0.0400442443831429	0.954887289646491	0.10657372961331
s__Fusobacterium_mortiferum	0.228655041054613	0.397348004982707	0.901100557638633	0.522637916463741
s__Anaerobiospirillum_thomasii	0.184849534357913	0.0069704985044685	0.901100557638633	0.0408963232404393
s__Anaerostipes_hadrus	0.739080490801347	0.147403975147068	0.954887289646491	0.253188004370258
s__Bifidobacterium_pseudocatenulatum	0.271730754180915	0.0902537198179608	0.944587859771753	0.175693907912297
s__Collinsella_stercoris	0.101083780436833	0.0150455920977673	0.702772949703694	0.0610182346187231
s__Lawsonibacter_asaccharolyticus	0.696377098766943	0.391532880538696	0.954887289646491	0.519670914169542
s__Ruminococcus_sp_CAG_330	0.002303869756501	0.00695614459528211	0.087941882515612	0.0408963232404393
s__Clostridium_clostridioforme	0.768240527895919	0.0637644016919911	0.954887289646491	0.133302966706014
s__Blautia_obeum	0.737379767711715	0.0180239936109818	0.954887289646491	0.0686650206029859
s__Granulicatella_elegans	0.00240936664426334	0.0241110297170417	0.087941882515612	0.0800047804247293
s__Bacteroides_thetaiotaomicron	0.405077932763088	0.00186188998761959	0.954887289646491	0.0271835938192461
s__Bacteroides_ovatus	0.722924285443961	0.607504503055558	0.954887289646491	0.698391003512689
s__Alistipes_shahii	0.896217730028083	0.0219572298736203	0.954887289646491	0.0745524549197341
s__Parabacteroides_merdae	0.181193812835024	0.00745719269173581	0.901100557638633	0.0408963232404393
s__Clostridium_leptum	0.237595721383354	0.450055476248126	0.901100557638633	0.563863378862839
s__Peptostreptococcus_sp_MV1	0.00674654529434194	0.0390742559004126	0.13712569295005	0.10657372961331
s__Anaerostipes_caccae	0.921105049382429	0.0773862306872306	0.954887289646491	0.156922078893551
s__Enterococcus_faecium	0.669566989311273	0.311727038173631	0.954887289646491	0.437616803589905
