Group.pvalue	interaction.pvalue	conv.mess	Group.padj	interaction.padj
s__Barnesiella_intestinihominis	0.398169810878828	0.267495067841659	NULL	0.968062464897316	0.505618128234037
s__Citrobacter_pasteurii	0.999409893711074	0.808074807629852	NULL	0.999931605872488	0.98256065419815
s__Citrobacter_youngae	0.793900602602028	0.0505710921464238	NULL	0.968062464897316	0.188955553601366
s__Lactobacillus_taiwanensis	0.33557024795309	0.735245332601161	NULL	0.968062464897316	0.940021884121379
s__Massiliomicrobiota_timonensis	0.926132720499804	0.0758159533369144	NULL	0.981188199856613	0.24200853979068
s__Varibaculum_cambriense	0.703814450377204	0.871450595979444	NULL	0.968062464897316	0.999883032960346
s__Lactococcus_lactis	0.00793700078048435	0.0310533007688545	NULL	0.299810844025234	0.156300592491512
s__Anaeromassilibacillus_sp_An250	0.659480309144922	0.131311533520831	NULL	0.968062464897316	0.345858793207872
s__Lactobacillus_salivarius	0.501879382021854	0.76144214542618	NULL	0.968062464897316	0.958703091305063
s__Peptoniphilus_harei	0.0314578812307397	0.00335487271747877	NULL	0.505423291773885	0.0730421206492213
s__Clostridiales_bacterium_1_7_47FAA	0.794684727706398	0.00220087069129981	NULL	0.968062464897316	0.0635897526180015
s__Streptococcus_equinus	0.400260125852905	0.849730864513179	NULL	0.968062464897316	0.999883032960346
s__Olsenella_uli	0.660338790067085	0.00425388126683786	NULL	0.968062464897316	0.0730421206492213
s__Lactobacillus_delbrueckii	0.131972442375142	0.0580275438380155	NULL	0.795133965310233	0.208336565260829
s__Gemmiger_sp_An87	0.808075512739823	0.994346741845136	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Butyricimonas_synergistica	0.767696758203383	0.0324054717955276	NULL	0.968062464897316	0.156300592491512
s__Eubacterium_ventriosum	0.551454911294323	0.0431751503928067	NULL	0.968062464897316	0.174717679661596
s__Collinsella_intestinalis	0.240718090312864	0.0369286297402301	NULL	0.945429735627741	0.166961267352375
s__Clostridium_sp_CAG_413	0.316371975250904	0.289358022319142	NULL	0.968062464897316	0.532826359919373
s__Bacteroides_coprophilus	0.599423602272783	0.0198982726290889	NULL	0.968062464897316	0.125448068468347
s__Scardovia_wiggsiae	0.808075525251934	0.994346740766443	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Klebsiella_michiganensis	0.705658241647177	0.991791878482631	NULL	0.968062464897316	0.999883032960346
s__Campylobacter_hominis	0.168416323662414	0.37824120777056	NULL	0.900640917799733	0.621082672700672
s__Anaerococcus_octavius	0.0802411869225638	0.193826709145425	NULL	0.644607347553055	0.42977619938647
s__Lachnoclostridium_sp_An181	0.999931605872488	0.271643725689519	NULL	0.999931605872488	0.509464108102521
s__Ruminococcaceae_bacterium_D16	0.798663585002404	0.22073103595357	NULL	0.968062464897316	0.468179679570689
s__Clostridium_perfringens	0.406157728697246	0.83646268980785	NULL	0.968062464897316	0.995280695554858
s__Brachyspira_pilosicoli	0.00867310052685698	0.00512111455763593	NULL	0.299810844025234	0.0730421206492213
s__Absiella_dolichum	0.785790579307499	0.0478772111233412	NULL	0.968062464897316	0.181707210720083
s__Bifidobacterium_longum	0.625246615987116	0.130608448276971	NULL	0.968062464897316	0.345858793207872
s__Intestinibacter_bartlettii	0.495139620406178	0.678433851370821	NULL	0.968062464897316	0.895122993686783
s__Streptococcus_cristatus	0.787368060899842	0.247250445486885	NULL	0.968062464897316	0.492458099583189
s__Streptococcus_sanguinis	0.323353984191049	0.0834238925506136	NULL	0.968062464897316	0.256116663754113
s__Clostridium_paraputrificum	0.425650801400968	0.828202916241985	NULL	0.968062464897316	0.995280695554858
s__Sharpea_azabuensis	0.985433683065653	0.160152055758968	NULL	0.995763176598836	0.395340087791077
s__Ruminococcus_lactaris	0.920326361008579	0.289627606429203	NULL	0.981188199856613	0.532826359919373
s__Lactobacillus_rogosae	0.226195691347146	0.623628194878637	NULL	0.945429735627741	0.844350533515458
s__Lactobacillus_gastricus	0.738211983185314	0.998003227084455	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Actinomyces_oris	0.790565051176067	0.999256031803557	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Lactobacillus_panis	0.329165003845437	0.734826108858836	boundary (singular) fit: see ?isSingular	0.968062464897316	0.940021884121379
s__Ruminococcus_bromii	0.245762034690896	0.0322527509299206	NULL	0.945429735627741	0.156300592491512
s__Sanguibacteroides_justesenii	0.0120911195115837	0.0123692192681639	NULL	0.323773311365741	0.100503905362375
s__Mageeibacillus_indolicus	0.0802415785335753	0.19382727547741	NULL	0.644607347553055	0.42977619938647
s__Cetobacterium_somerae	0.809396341021545	0.99407656034223	NULL	0.968062464897316	0.999883032960346
s__Peptostreptococcus_stomatis	0.357946458497812	0.242014128779439	boundary (singular) fit: see ?isSingular	0.968062464897316	0.488078703228826
s__Ruminococcus_torques	0.764462227770727	0.0311433144313654	NULL	0.968062464897316	0.156300592491512
s__Corynebacterium_amycolatum	0.481395772009746	0.533940969481757	boundary (singular) fit: see ?isSingular	0.968062464897316	0.768594983760997
s__Blautia_hansenii	0.816310872085631	0.774353992261231	NULL	0.968981474333256	0.961955217190498
s__Lactobacillus_plantarum	0.769313105782336	0.103015664263665	boundary (singular) fit: see ?isSingular	0.968062464897316	0.300930607121736
s__Firmicutes_bacterium_CAG_791	0.20404734842319	0.570634901233316	NULL	0.943558232385473	0.808958889395466
s__Citrobacter_europaeus	0.829611031613891	0.758730169245084	NULL	0.968981474333256	0.958703091305063
s__Desulfovibrio_fairfieldensis	0.999421894653144	0.585662816357249	boundary (singular) fit: see ?isSingular	0.999931605872488	0.815865541861833
s__Rothia_mucilaginosa	0.00386388598995505	0.0602189573585524	NULL	0.299810844025234	0.21050190128029
s__Klebsiella_oxytoca	0.886984268992993	0.0653528849517498	NULL	0.978321321864125	0.215754044840708
s__Parabacteroides_goldsteinii	0.387920670300229	0.100400764829916	NULL	0.968062464897316	0.295080296634265
s__Clostridium_spiroforme	0.392544079567418	0.000242079616730079	NULL	0.968062464897316	0.0145852969079873
s__Anaerococcus_vaginalis	0.544548792042824	0.734132809117425	NULL	0.968062464897316	0.940021884121379
s__Parvimonas_sp_oral_taxon_110	0.0860837796071957	0.258739155297402	boundary (singular) fit: see ?isSingular	0.648318465166692	0.498849091413391
s__Mitsuokella_multacida	0.55519842905437	0.130141656623374	NULL	0.968062464897316	0.345858793207872
s__Prevotella_sp_CAG_520	0.704888289631486	0.767024872192503	NULL	0.968062464897316	0.961955217190498
s__Streptococcus_mutans	0.0420468168093763	0.481030676208039	NULL	0.562960158392205	0.722295283278114
s__Dorea_sp_CAG_317	0.43393299048672	0.930066484245687	NULL	0.968062464897316	0.999883032960346
s__Monoglobus_pectinilyticus	0.0220053817437147	0.0128460543757736	NULL	0.393040420249915	0.100503905362375
s__Gemella_sanguinis	0.241372828932516	0.54827324911376	NULL	0.945429735627741	0.784510498820247
s__Phascolarctobacterium_faecium	0.287112212430261	0.0442231471342629	NULL	0.968062464897316	0.174717679661596
s__Eubacterium_sp_OM08_24	0.121850886099441	0.110811552496844	NULL	0.772791146051719	0.314183342961641
s__Bacteroides_fragilis	0.894998001023867	0.85480341805118	NULL	0.978739621249705	0.999883032960346
s__Blautia_wexlerae	0.873575156979202	0.105709960278132	NULL	0.978321321864125	0.303286909845593
s__Dialister_micraerophilus	0.0084529536750031	0.00758661574879984	boundary (singular) fit: see ?isSingular	0.299810844025234	0.0831079270663983
s__Lactobacillus_reuteri	0.950972221368805	0.00448252224132712	NULL	0.985738947741428	0.0730421206492213
s__Prevotella_sp_AM42_24	0.657110754653131	0.345458084329349	NULL	0.968062464897316	0.586305621995585
s__Pediococcus_acidilactici	0.310861930156592	0.4947982879578	NULL	0.968062464897316	0.736322234846698
s__Citrobacter_freundii	0.676292509729623	0.156085608478373	NULL	0.968062464897316	0.391839912950915
s__Lactobacillus_paragasseri	0.531994470096318	0.651715845411763	NULL	0.968062464897316	0.86961308688112
s__Bacteroides_caccae	0.618209331768944	0.32978051183133	NULL	0.968062464897316	0.56567333346157
s__Parvimonas_micra	0.0182966573879731	0.0190305078505299	NULL	0.393040420249915	0.123923117548512
s__Bacteroides_sp_CAG_530	0.501638061424482	0.292328509155489	NULL	0.968062464897316	0.53575034757774
s__Streptococcus_milleri	0.764664586627107	0.931840410685909	NULL	0.968062464897316	0.999883032960346
s__Alistipes_indistinctus	0.187785324395861	0.795610721402412	NULL	0.925401836872005	0.98256065419815
s__Peptoniphilus_sp_HMSC062D09	0.0802411614940916	0.193826684808565	NULL	0.644607347553055	0.42977619938647
s__Enterococcus_mundtii	0.605849325324722	0.995446289520361	NULL	0.968062464897316	0.999883032960346
s__Agathobaculum_butyriciproducens	0.311248695980498	0.0697077380255654	NULL	0.968062464897316	0.225497514955185
s__Enterobacter_cloacae_complex	0.955574953144181	0.594579115111842	NULL	0.988384393595483	0.818820381382594
s__Corynebacterium_aurimucosum	0.303089236590577	0.37808495064129	boundary (singular) fit: see ?isSingular	0.968062464897316	0.621082672700672
s__Providencia_stuartii	0.0860836182562832	0.258738816366207	boundary (singular) fit: see ?isSingular	0.648318465166692	0.498849091413391
s__Streptococcus_pasteurianus	0.798662789373362	0.220730789703864	NULL	0.968062464897316	0.468179679570689
s__Bacteroides_coagulans	0.559146406308501	0.979958014180797	NULL	0.968062464897316	0.999883032960346
s__Clostridium_saccharolyticum	0.978535116860383	0.26017874965568	NULL	0.99542454435637	0.499626124836803
s__Streptococcus_salivarius	0.418942544901354	0.313498525862507	NULL	0.968062464897316	0.547906234526528
s__Intestinimonas_butyriciproducens	0.808244688937844	0.157734076532036	NULL	0.968062464897316	0.391896004579595
s__Megamonas_funiformis_CAG_377	0.0364934801319387	0.0538380020683948	NULL	0.558611066954214	0.19961474613051
s__Clostridium_scindens	0.797736298630886	0.00237472105212454	NULL	0.968062464897316	0.0635897526180015
s__Actinomyces_sp_HMSC035G02	0.277126507026539	0.328080947469976	NULL	0.964531365650919	0.564767916716174
s__Parvimonas_sp_oral_taxon_393	0.0802412300197734	0.193826753000988	NULL	0.644607347553055	0.42977619938647
s__Oscillibacter_sp_57_20	0.843606517585455	0.798294405909034	NULL	0.975103936393739	0.98256065419815
s__Streptococcus_sp_F0442	0.0636405898873505	0.239772521462009	NULL	0.644607347553055	0.485589728339027
s__Actinomyces_odontolyticus	0.232025614634364	0.477257376440131	NULL	0.945429735627741	0.721122430859384
s__Clostridium_sp_CAG_242	0.417082400779702	0.893592293904162	NULL	0.968062464897316	0.999883032960346
s__Parabacteroides_distasonis	0.444283495563535	0.854991534295365	NULL	0.968062464897316	0.999883032960346
s__Blautia_producta	0.36354811296547	5.48576861561154e-05	NULL	0.968062464897316	0.0044069007878746
s__Enterococcus_sp_3H8_DIV0648	0.44969738398443	0.815402818866161	NULL	0.968062464897316	0.98256065419815
s__Clostridiales_bacterium_CHKCI006	0.80807549804622	0.994346743111895	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Helicobacter_cinaedi	0.0110433053170759	0.0205001256849953	NULL	0.313110186048858	0.126680263848304
s__Atopobium_minutum	0.589986057034392	0.451863118677755	NULL	0.968062464897316	0.696313631006043
s__Prevotella_bivia	0.329710641084021	0.227793220497134	NULL	0.968062464897316	0.469215095212045
s__Leuconostoc_citreum	0.00933021298833714	0.0448884093902687	NULL	0.299810844025234	0.175431115531316
s__Clostridium_sp_CAG_58	0.368965101646176	0.0059369624426877	NULL	0.968062464897316	0.0776925135325923
s__Mycoplasma_hominis	0.21772591491495	0.382269557759191	NULL	0.945429735627741	0.624589582508237
s__Bacteroides_vulgatus	0.8306305129461	0.518822330922824	NULL	0.968981474333256	0.755505629923871
s__Clostridium_sp_MSTE9	0.903154952487955	0.997475656009048	NULL	0.978739621249705	0.999883032960346
s__Dermabacter_hominis	0.659044417020643	0.977907175994874	NULL	0.968062464897316	0.999883032960346
s__Streptococcus_vestibularis	0.00532574686653393	0.0098856603834233	NULL	0.299810844025234	0.0934291824472555
s__Clostridium_sp_PI_S10_A1B	0.658826890398244	0.998621697196428	NULL	0.968062464897316	0.999883032960346
s__Prevotella_copri	0.246876865106475	0.000102506236021434	NULL	0.945429735627741	0.00705828653747591
s__Butyricicoccus_pullicaecorum	0.453208034811662	0.708733652689953	NULL	0.968062464897316	0.92326924485556
s__Victivallis_vadensis	0.891442920652681	0.0324275088156664	NULL	0.978739621249705	0.156300592491512
s__Roseburia_hominis	0.369500769046671	0.249198056252313	NULL	0.968062464897316	0.493754335185431
s__Gemella_asaccharolytica	0.401761307171701	0.269520948138902	boundary (singular) fit: see ?isSingular	0.968062464897316	0.507457410167776
s__Kluyvera_cryocrescens	0.94047499654306	0.1138898135694	NULL	0.981188199856613	0.317897770050275
s__Clostridium_sp_CAG_299	0.126802624020649	0.153053312851875	NULL	0.783496704834858	0.386239250233528
s__Eubacterium_dolichum_CAG_375	0.863455542092865	0.167095675720762	boundary (singular) fit: see ?isSingular	0.978321321864125	0.396749338410873
s__Clostridium_sp_CAG_590	0.000950112057529802	0.00055209832954022	NULL	0.290328680633733	0.0266111394838386
s__Alistipes_putredinis	0.908647967354708	0.0192826427720714	NULL	0.980847020876219	0.123923117548512
s__Streptococcus_thermophilus	0.0490215905211829	0.0614574484217693	NULL	0.611082257780595	0.211589215280663
s__Butyrivibrio_crossotus	0.0228322235829826	0.0260466390878344	NULL	0.393040420249915	0.139494222670402
s__Dialister_pneumosintes	0.0802413754478913	0.193826897398757	NULL	0.644607347553055	0.42977619938647
s__Lactobacillus_crispatus	0.54773066190461	0.169162086764554	NULL	0.968062464897316	0.398503646928771
s__Allisonella_histaminiformans	0.204474399728001	0.00322582045994638	NULL	0.943558232385473	0.0730421206492213
s__Proteus_vulgaris	0.449697036702254	0.815402674738721	NULL	0.968062464897316	0.98256065419815
s__Butyrivibrio_sp_CAG_318	0.0214659484392585	0.0126626267559244	NULL	0.393040420249915	0.100503905362375
s__Olsenella_profusa	0.487843437759135	0.0639123812974038	NULL	0.968062464897316	0.212453570933439
s__Veillonella_parvula	0.849646247323699	0.302747628840235	NULL	0.978321321864125	0.540460581855531
s__.Collinsella._massiliensis	0.114624731494597	0.0298695110978067	NULL	0.736654941071943	0.153160684565349
s__Bacteroides_sp_CAG_443	0.0216711721098247	0.0129592727624954	NULL	0.393040420249915	0.100503905362375
s__Desulfovibrionaceae_bacterium	0.830377077775255	0.121923525130669	NULL	0.968981474333256	0.335812223502758
s__Weissella_paramesenteroides	0.616907462234876	0.999883032960346	NULL	0.968062464897316	0.999883032960346
s__Bifidobacterium_catenulatum	0.251820806652068	0.0363675341803762	NULL	0.949672630334566	0.166961267352375
s__Gardnerella_vaginalis	0.589569129556472	0.0397763108166104	boundary (singular) fit: see ?isSingular	0.968062464897316	0.166961267352375
s__Enterococcus_avium	0.619105789371682	0.463301094973603	NULL	0.968062464897316	0.706680784105306
s__Bacteroides_sp_CAG_144	0.780407191883849	0.925090979238724	NULL	0.968062464897316	0.999883032960346
s__Haemophilus_sp_HMSC71H05	0.189818525849305	0.0557229189498124	NULL	0.925401836872005	0.203473082831891
s__Prevotella_colorans	0.16841659401974	0.378241433286872	NULL	0.900640917799733	0.621082672700672
s__Coprococcus_catus	0.432722739572236	0.263222617136866	NULL	0.968062464897316	0.500337597259676
s__Anaerotruncus_sp_CAG_528	0.256135771666999	0.0144539992775444	NULL	0.949672630334566	0.104065444325853
s__Salmonella_enterica	0.392087313793999	0.838348469699735	NULL	0.968062464897316	0.995280695554858
s__Corynebacterium_jeikeium	0.389081987945365	0.452170469927161	boundary (singular) fit: see ?isSingular	0.968062464897316	0.696313631006043
s__Enterococcus_cecorum	0.513051517794641	0.985329586765921	NULL	0.968062464897316	0.999883032960346
s__Prevotella_sp_CAG_279	0.0687036323650521	0.228927885206515	NULL	0.644607347553055	0.469545704976768
s__Olsenella_scatoligenes	0.636262550690769	0.506377365125556	NULL	0.968062464897316	0.748692914081344
s__Sutterella_parvirubra	0.933245503764203	0.367089544783609	NULL	0.981188199856613	0.612239309985119
s__Bulleidia_extructa	0.608644487335088	0.999500991667001	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Paraprevotella_xylaniphila	0.560248188276996	0.486937045129738	NULL	0.968062464897316	0.728893340846379
s__Eubacterium_sp_CAG_38	0.65668011446022	0.243792556661311	NULL	0.968062464897316	0.489616717961466
s__Citrobacter_braakii	0.24714553254999	0.216800202144533	NULL	0.945429735627741	0.468179679570689
s__Streptococcus_parasanguinis	0.100801639447509	0.00863838755706484	NULL	0.696034031007905	0.0867438083855261
s__Haemophilus_parahaemolyticus	0.0405630442809077	0.130222403839608	boundary (singular) fit: see ?isSingular	0.558611066954214	0.345858793207872
s__Clostridium_butyricum	0.712059612614052	0.0256550996792896	NULL	0.968062464897316	0.138941101633906
s__Bacteroides_dorei	0.731150225777719	0.0629477691369775	NULL	0.968062464897316	0.212453570933439
s__Lactobacillus_pentosus	0.411069571141459	0.986292369575325	NULL	0.968062464897316	0.999883032960346
s__Rikenella_microfusus	0.972499876162644	0.0610574342897742	NULL	0.995212187495529	0.211589215280663
s__Ruminococcus_sp_CAG_488	0.475849849114633	0.475741402422735	NULL	0.968062464897316	0.72109231436402
s__Lawsonella_clevelandensis	0.104382847441021	0.308757666630163	NULL	0.708627217839042	0.545264185333781
s__Lactobacillus_rhamnosus	0.327438616145409	0.00485975620166155	NULL	0.968062464897316	0.0730421206492213
s__Alistipes_finegoldii	0.949032047356656	0.494955195208154	NULL	0.985738947741428	0.736322234846698
s__Lachnoclostridium_sp_An138	0.0982119240627276	0.226291492329686	NULL	0.696034031007905	0.469215095212045
s__Lactobacillus_gallinarum	0.415961334886598	0.773857935055381	boundary (singular) fit: see ?isSingular	0.968062464897316	0.961955217190498
s__Firmicutes_bacterium_CAG_95	0.93703327939955	0.0285835018621863	NULL	0.981188199856613	0.148142450511546
s__Phascolarctobacterium_succinatutens	0.880315831659925	0.888350914572242	NULL	0.978321321864125	0.999883032960346
s__Bifidobacterium_animalis	0.0311094110454933	0.55938775964803	NULL	0.505423291773885	0.797706805178552
s__Actinomyces_turicensis	0.351719191452478	0.238581801916348	NULL	0.968062464897316	0.485216997990211
s__Holdemanella_biformis	0.963353915770718	0.000699584391984585	NULL	0.99217219530232	0.0306545160851427
s__Haemophilus_parainfluenzae	0.606340172364343	0.0860471998996711	NULL	0.968062464897316	0.262498419947098
s__Bacteroides_coprocola	0.586668013139509	0.0464463360569762	NULL	0.968062464897316	0.177779716130057
s__Eubacterium_sp_CAG_274	0.00831383470314975	0.0091926127011261	NULL	0.299810844025234	0.0886167864388556
s__Pediococcus_pentosaceus	0.134499260487234	0.588053414911927	NULL	0.799753782142228	0.816835002845962
s__Bacteroides_uniformis	0.502559066845132	0.479334817085396	NULL	0.968062464897316	0.721998068234878
s__Prevotella_timonensis	0.564661291434288	0.607914151036615	NULL	0.968062464897316	0.830069747307785
s__Pasteurella_bettyae	0.0802410786288752	0.193826602532784	NULL	0.644607347553055	0.42977619938647
s__Enterococcus_dispar	0.329207753864026	0.928352621637807	NULL	0.968062464897316	0.999883032960346
s__Lachnospira_pectinoschiza	0.25460915997071	0.403255756823388	Model failed to converge with max|grad| = 0.00279343 (tol = 0.002, component 1)	0.949672630334566	0.650064464176834
s__Coprobacter_secundus	0.929404252443873	0.138339500296718	NULL	0.981188199856613	0.360430481854151
s__Anaerosporobacter_mobilis	0.695426387568387	0.996741860442083	NULL	0.968062464897316	0.999883032960346
s__Ruminococcus_obeum_CAG_39	0.189040589306983	0.773170661771249	NULL	0.925401836872005	0.961955217190498
s__Clostridium_lavalense	0.959347450352111	0.0428391237973533	NULL	0.990161608286333	0.174717679661596
s__Dorea_longicatena	0.800363730412137	0.0249663817601472	NULL	0.968062464897316	0.137473947348092
s__Firmicutes_bacterium_CAG_170	0.293437422318209	0.681426217696243	NULL	0.968062464897316	0.895122993686783
s__Granulicatella_adiacens	0.794608492991326	0.227005481101484	boundary (singular) fit: see ?isSingular	0.968062464897316	0.469215095212045
s__Terrisporobacter_othiniensis	0.832765049000763	0.440292582177293	NULL	0.968981474333256	0.690993370822062
s__Catabacter_hongkongensis	0.794608697048496	0.227005530887815	boundary (singular) fit: see ?isSingular	0.968062464897316	0.469215095212045
s__Clostridium_sp_CAG_253	0.898084208425186	0.000520024264193347	NULL	0.978739621249705	0.0266111394838386
s__Anaerococcus_tetradius	0.430517979742692	0.0401814992067722	NULL	0.968062464897316	0.166961267352375
s__Bacteroides_massiliensis	0.611580237897278	0.261463983773062	NULL	0.968062464897316	0.50010174674054
s__Pseudomonas_fragi	0.62845951643494	0.957707447016285	NULL	0.968062464897316	0.999883032960346
s__Gemella_haemolysans	0.22352780266888	0.579668203015615	NULL	0.945429735627741	0.812117954119302
s__Alistipes_onderdonkii	0.273405070237478	0.00338655637252498	NULL	0.964531365650919	0.0730421206492213
s__Alloscardovia_omnicolens	0.449697898802495	0.815403032529585	NULL	0.968062464897316	0.98256065419815
s__Morganella_morganii	0.809396375790988	0.994076557205049	NULL	0.968062464897316	0.999883032960346
s__Enterococcus_gallinarum	0.823826956453792	0.741245717021551	NULL	0.968981474333256	0.942692442227936
s__Anaeroglobus_geminatus	0.798662821119137	0.220730877474225	NULL	0.968062464897316	0.468179679570689
s__Eubacterium_eligens	0.817585743705379	0.013206495531031	NULL	0.968981474333256	0.100503905362375
s__Hafnia_alvei	0.589727829044213	0.991646512756528	NULL	0.968062464897316	0.999883032960346
s__Bacteroides_xylanisolvens	0.790416861622777	0.705751364406382	NULL	0.968062464897316	0.921875765972564
s__Campylobacter_ureolyticus	0.0802411558557913	0.193826679239154	NULL	0.644607347553055	0.42977619938647
s__Flavonifractor_sp_An10	0.809396625214975	0.994076534701203	NULL	0.968062464897316	0.999883032960346
s__Sneathia_amnii	0.430517990336472	0.0401815004886421	NULL	0.968062464897316	0.166961267352375
s__Clostridioides_difficile	0.76411267915418	0.0183008398534779	NULL	0.968062464897316	0.122217469631189
s__Clostridium_citroniae	0.461844360197263	0.0263410178695275	NULL	0.968062464897316	0.139520556188047
s__Parabacteroides_johnsonii	0.136494644044192	0.0583515276145474	NULL	0.799753782142228	0.208336565260829
s__Actinomyces_graevenitzii	0.790565552823941	0.999256012297662	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Faecalibacterium_prausnitzii	0.458308269754198	0.737301359863062	NULL	0.968062464897316	0.940156760460306
s__Prevotella_disiens	0.0221095831122413	0.0218817491421822	NULL	0.393040420249915	0.130828187575748
s__Odoribacter_laneus	0.0522443109758492	0.0241479582249801	NULL	0.615815305116169	0.137473947348092
s__Pseudoflavonifractor_sp_An184	0.93560621319885	0.462728079915222	NULL	0.981188199856613	0.706680784105306
s__Bifidobacterium_dentium	0.685904267943389	0.686707018075866	NULL	0.968062464897316	0.899436909545021
s__Enterococcus_phoeniculicola	0.449697351176897	0.815402805318691	NULL	0.968062464897316	0.98256065419815
s__Firmicutes_bacterium_CAG_424	0.946678796199437	0.147598025757265	NULL	0.98552738610827	0.376414012777788
s__Coprobacter_fastidiosus	0.69854770334792	0.283806734842	NULL	0.968062464897316	0.526134023822477
